"GenusSpecies","degree","proportional.generality","d","r.degree","MeanITD"
"Rhamnus californica",3,0.229531240025948,0.652593820132591,3,NA
"Rosa californica",15,0.620525191811097,0.140040155329319,39.5,NA
"Rubus armeniacus",6,0.284232349214997,0.393932109032696,12,NA
"Rubus discolor",7,0.480327381472608,0.353077639027657,13,NA
"Rubus ursinus",1,0.0887451343938172,0.0148661464269608,1,NA
"Salix sp.",5,0.41804732716538,0.192080167401751,7.25,NA
"Salsola iberica",2,0.146374883594057,0.0557001062836766,2,NA
"Salsola tragus",2,0.155726886868906,0.0236237589589937,2,NA
"Salvia sp.",39,1.69903252156698,0.390771927087955,79,NA
"Sambucus mexicana",11,0.783188258706367,0.283189528510843,17,NA
"Silybum marianum",19,0.606820057378327,0.173370878644133,35.6666666666667,NA
"Solanum americanum",1,0.0887451343938172,0.141447581392899,1,NA
"Solanum lycopersicum",2,0.16771779434778,0.649040906472793,2.5,NA
"Solanum rostratum",1,0.0887451343938172,0.0148661464269608,1,NA
"Sonchus sp.",7,0.284234911130799,0.194459940317169,9.25,NA
"Stachys lanata",1,0.0887451343938172,0.391231143774537,1,NA
"Symphoricarpos mollis",2,0.155726886868906,0.187636520944013,2,NA
"Symphyotrichum chilense",1,0.0887451343938172,0.0148661464269608,1,NA
"Symphyotrichum chilensis",3,0.266235403181452,0.21444056102044,6,NA
"Torilis arvensis",1,0.0887451343938172,0.0740321922987594,1,NA
"Torilis nodosa",2,0.177490268787634,0,3,NA
"Tribulus terrestris",9,0.350582055731086,0.0589742586482233,11.6666666666667,NA
"Trichostema lanatum",13,0.358859307599488,0.254698648539831,15.25,NA
"Trichostema lanceolatum",2,0.120350064536642,0.503430537700038,2,NA
"Trifolium incarnatum",1,0.0887451343938172,0.47733522747445,1,NA
"Trifolium pratense",8,0.276744421967774,0.683718210643029,10.6666666666667,NA
"Trifolium repens",1,0.0887451343938172,0.581856079011707,1,NA
"Vicia americana",12,0.799048913697801,0.470492806450156,28,NA
"Vicia villosa",14,0.954238153982944,0.775188304073015,20.125,NA
"Wyethia glabra",1,0.0887451343938172,0.838170042386543,1,NA
"Zauschneria californica",2,0.16771779434778,0.279411677420488,2.5,NA
"Zinnia elegans",2,0.173952151519502,0.248622596160532,2,NA
