"","Site","Year","riparianForest350","riparianScrub350","natural350","riparianForest1000","riparianScrub1000","natural1000","riparianForest2500","riparianScrub2500","natural2500"
"11370","Sperandio",2014,5300.70166666106,544680.692682588,549981.39434925,34140.4300250269,2123108.26327544,2157248.69330046,47995.7892858219,2889096.53957642,2937092.32886224
"11371","RLong",2014,0,1626.55067710278,1626.55067710278,0,1908.85822836348,1908.85822836348,0,1945.25972868982,1945.25972868982
"11381","Gregory",2014,0,722.783058146278,722.783058146278,0,20770.8110398836,20770.8110398836,0,32530.4281547852,32530.4281547852
"11389","Turkovich",2014,94107.8337965697,2248.6591355165,96356.4929320862,214818.787181235,24022.2587607693,238841.045942004,258851.893428296,34897.2905790423,293749.184007338
"11413","BC2",2014,6538.77262402204,1278.76133284971,7817.53395687175,11180.7507071426,109526.636831953,120707.387539095,12150.7416809853,188946.765394185,201097.50707517
"11417","Hrdy",2014,2.69259758446531,0,2.69259758446531,312.219164919096,0,312.219164919096,545.16531168889,0,545.16531168889
"11422","Tractor",2014,0,16943.5958204556,16943.5958204556,0,41178.6438688319,41178.6438688319,0,51804.7851885879,51804.7851885879
"11423","CR29",2014,0,7892.59375516003,7892.59375516003,0,83066.9057588912,83066.9057588912,0,117893.350551851,117893.350551851
"11444","Barn",2014,20910.6034717453,451195.678644774,472106.282116519,61040.5390345212,1910237.04009466,1971277.57912918,78225.1829621888,2544111.49644478,2622336.67940697
"11452","Spiva",2014,2494.25454856079,634065.799145224,636560.053693785,10917.0930081636,1949038.18000929,1959955.27301745,13312.9741078873,2542560.58980768,2555873.56391556
"11463","MullerB",2014,0,2989.69387600343,2989.69387600343,0,8808.58837930482,8808.58837930482,0,10629.2635890986,10629.2635890986
"11486","Zamora",2014,282.182629928042,11813.8318681309,12096.014498059,32720.3833127938,49029.8670520557,81750.2503648495,57133.001338728,59353.5675367146,116486.568875443
"11490","CR101",2014,42.0461852483887,11524.634610222,11566.6807954704,4875.44998258341,149000.206709804,153875.656692387,8513.01427978458,211662.645472998,220175.659752783
"11510","MullerM",2014,6880.06006137181,0,6880.06006137181,49981.8956390478,0,49981.8956390478,70190.6226205979,0,70190.6226205979
"11511","Berm",2014,0,0,0,0,0,0,0,0,0
"11526","Johnston",2014,0,97.0272171691413,97.0272171691413,0,9364.5387433929,9364.5387433929,0,16239.5746191325,16239.5746191325
"11541","DQU",2014,0,0,0,0,0,0,0,0,0
"11696","Maria",2014,0,8655.13812901198,8655.13812901198,0,12869.6045328717,12869.6045328717,0,13721.8289963033,13721.8289963033
"11745","YoloAirport",2014,678.329466450663,14402.9479553436,15081.2774217943,4676.97443778286,48645.7118979275,53322.6863357104,6058.61728168989,63114.9424671493,69173.5597488392
"11768","Hatanaka",2014,46155.4534625414,26045.2825009003,72200.7359634417,276015.776379546,289685.021944712,565700.798324258,414692.42641194,461982.049868091,876674.476280032
"11847","CircleG",2014,0,1224.07863110911,1224.07863110911,0,4953.19111538985,4953.19111538985,0,5934.77010634918,5934.77010634918
"11907","CR101Control",2014,1776.3797386505,10312.9534610003,12089.3331996508,2495.14149376201,39301.8618499768,41797.0033437388,2596.56214594567,54215.1575331967,56811.7196791423
"11964","Joe",2014,1286.20071829139,19885.7541545416,21171.9548728329,10800.0123670599,121269.42008674,132069.432453799,14781.7518116619,165299.582577019,180081.334388681
"11968","H16",2014,25.1136653300133,342.642205602255,367.755870932268,2912.04584845211,13220.7480178153,16132.7938662674,5084.71791933436,21512.9966821981,26597.7146015324
